,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Biu,8,NG,1554515327,37,10.61,12.19,73.25,4.41
1,Mataura,0,NZ,1554513607,50,-46.19,168.86,57.0,4.0
2,Hilo,75,US,1554515054,61,19.71,-155.08,80.6,12.75
3,Nikolskoye,0,RU,1554514839,68,59.7,30.79,36.0,2.62
4,Butaritari,92,KI,1554515096,100,3.07,172.79,80.81,12.68
5,Mitzic,80,GA,1554515328,96,0.78,11.55,72.62,1.95
6,Bell Ville,36,AR,1554515328,74,-32.63,-62.69,53.9,4.74
7,Castro,90,CL,1554512400,87,-42.48,-73.76,50.0,2.24
8,Avera,1,US,1554515106,88,33.19,-82.53,68.0,3.36
9,Arman,88,RU,1554515329,68,59.7,150.17,36.35,8.88
10,Magadan,0,RU,1554515329,82,59.56,150.8,36.35,20.29
11,Ponta do Sol,32,BR,1554515103,96,-20.63,-46.0,67.85,3.4
12,Carnarvon,0,ZA,1554515088,91,-30.97,22.13,47.24,10.67
13,Hermanus,0,ZA,1554514266,88,-34.42,19.24,57.0,5.99
14,Morondava,0,MG,1554515186,100,-20.3,44.28,75.41,4.29
15,Ushuaia,40,AR,1554512400,80,-54.81,-68.31,41.0,39.15
16,Norman Wells,5,CA,1554512400,41,65.28,-126.83,24.8,17.22
17,Narsaq,75,GL,1554511800,47,60.91,-46.05,37.4,29.97
18,Lukulu,20,ZM,1554515330,71,-14.38,23.24,70.55,10.45
19,Busselton,0,AU,1554515057,37,-33.64,115.35,64.0,6.53
20,Kuytun,0,RU,1554515330,45,54.34,101.51,36.08,3.4
21,Kilindoni,64,TZ,1554515330,100,-7.91,39.67,79.01,2.39
22,Vaini,56,IN,1554515104,81,15.34,74.49,73.88,2.28
23,Thompson,5,CA,1554512400,32,55.74,-97.86,23.0,4.7
24,Venado,80,MX,1554515330,43,22.93,-101.09,66.5,4.63
25,Basco,1,US,1554514853,87,40.33,-91.2,53.01,4.7
26,Severo-Kurilsk,88,RU,1554515119,95,50.68,156.12,33.11,13.13
27,High Level,90,CA,1554512400,63,58.52,-117.13,28.4,10.29
28,Bredasdorp,0,ZA,1554514233,93,-34.53,20.04,57.0,5.82
29,Saint George,90,GR,1554511800,71,39.45,22.34,53.6,2.84
30,Orotukan,76,RU,1554515202,92,62.26,151.67,28.52,3.85
31,Klaksvik,48,FO,1554513600,86,62.23,-6.59,41.0,6.93
32,Tuatapere,0,NZ,1554513607,50,-46.13,167.69,57.0,4.0
33,Punta Arenas,75,CL,1554512400,80,-53.16,-70.91,41.0,23.04
34,Kasongo,76,CD,1554515332,98,-4.43,26.67,69.38,2.84
35,Lysva,0,RU,1554515332,63,58.11,57.8,17.54,2.84
36,Khatanga,8,RU,1554515121,85,71.98,102.47,17.9,18.39
37,Vila Velha,0,BR,1554513491,88,-3.71,-38.6,78.8,2.24
38,Kapaa,1,US,1554514996,57,22.08,-159.32,80.6,8.05
39,Belfast,76,GB,1554514898,81,54.6,-5.93,44.6,14.99
40,Komsomolets,92,RU,1554515333,99,52.77,41.29,32.93,4.18
41,Alugan,92,PH,1554515274,91,12.22,125.48,81.53,10.67
42,Port Elizabeth,90,US,1554515064,93,39.31,-74.98,52.0,4.7
43,Harnosand,76,SE,1554515270,94,62.63,17.94,34.0,2.24
44,Tezu,0,IN,1554515333,58,27.93,96.16,66.05,0.38
45,Qaanaaq,0,GL,1554515083,67,77.48,-69.36,-5.05,6.87
46,Lindenberg,8,DE,1554515292,78,50.3,11.24,46.0,5.01
47,Mahebourg,75,MU,1554515041,83,-20.41,57.7,78.8,12.75
48,Port Alfred,80,ZA,1554514944,92,-33.59,26.89,57.99,1.01
49,Bambous Virieux,75,MU,1554515041,83,-20.34,57.76,78.8,12.75
50,Mecca,0,SA,1554515325,84,21.43,39.83,57.86,2.73
51,Nabire,12,ID,1554515175,73,-3.36,135.5,82.79,2.62
52,Atuona,92,PF,1554515067,99,-9.8,-139.03,82.88,14.03
53,Sangin,0,AF,1554515335,57,32.07,64.85,62.27,5.41
54,Hobart,40,AU,1554515055,42,-42.88,147.33,64.99,23.04
55,Cherskiy,0,RU,1554514981,71,68.75,161.3,19.61,2.73
56,Souillac,0,FR,1554514945,81,45.6,-0.6,50.0,5.82
57,Molepolole,75,BW,1554512400,77,-24.41,25.52,64.4,5.82
58,Albany,90,US,1554515023,80,42.65,-73.75,35.01,5.82
59,Mayo,75,CA,1554512400,48,63.59,-135.9,32.0,11.41
60,Hithadhoo,0,MV,1554515099,100,-0.6,73.08,83.69,4.97
61,Bethel,1,US,1554512160,51,60.79,-161.76,35.6,18.34
62,Noumea,20,NC,1554512400,39,-22.28,166.46,84.2,10.29
63,Jamestown,0,AU,1554515082,36,-33.21,138.6,72.71,4.07
64,Rikitea,48,PF,1554514925,100,-23.12,-134.97,77.48,14.81
65,Sechura,8,PE,1554515336,82,-5.56,-80.82,72.71,9.66
66,New Norfolk,40,AU,1554515055,42,-42.78,147.06,64.99,23.04
67,Port Hardy,90,CA,1554512400,76,50.7,-127.42,48.2,9.17
68,Lagoa,20,PT,1554514935,87,37.14,-8.45,52.0,8.05
69,Sorong,0,ID,1554515337,98,-0.86,131.25,83.69,2.84
70,Porto Novo,0,BR,1554512400,78,-23.68,-45.44,77.0,1.12
71,Naze,68,NG,1554515098,93,5.43,7.07,76.4,7.2
72,Tuktoyaktuk,5,CA,1554512400,84,69.44,-133.03,1.4,9.17
73,Tigil,68,RU,1554515338,91,57.8,158.67,38.96,10.45
74,Morgan City,90,US,1554515187,100,29.7,-91.21,73.0,3.36
75,Paamiut,36,GL,1554515338,87,61.99,-49.67,34.37,23.64
76,Victoria,75,BN,1554512400,74,5.28,115.24,86.0,3.36
77,Kodiak,1,US,1554515024,54,39.95,-94.76,60.8,9.17
78,Sabang,64,PH,1554515339,84,13.72,123.58,82.16,5.86
79,Acari,64,BR,1554515061,95,-6.44,-36.64,69.56,4.18
80,Trelew,12,AR,1554515243,30,-43.25,-65.31,55.16,10.89
81,Georgetown,20,GY,1554512400,74,6.8,-58.16,80.6,9.17
82,Lapua,0,FI,1554515290,92,62.97,23.01,33.01,5.82
83,Chokurdakh,12,RU,1554515166,100,70.62,147.9,18.98,5.75
84,Nerchinskiy Zavod,76,RU,1554515340,67,51.31,119.61,33.11,4.97
85,Hami,0,CN,1554515340,44,42.84,93.51,62.63,6.64
86,Kieta,56,PG,1554515340,94,-6.22,155.63,83.33,5.41
87,Airai,92,TL,1554515097,73,-8.93,125.41,76.85,2.95
88,Cape Town,0,ZA,1554514927,72,-33.93,18.42,60.01,8.05
89,Teya,75,MX,1554515251,43,21.05,-89.07,87.8,9.17
90,Rio Verde de Mato Grosso,68,BR,1554515119,91,-18.92,-54.84,73.34,1.95
91,Nizhnyaya Maktama,64,RU,1554515341,92,54.86,52.43,28.88,5.19
92,Manhush,0,UA,1554515341,92,47.06,37.31,42.83,12.24
93,Provideniya,0,RU,1554515113,100,64.42,-173.23,25.28,2.28
94,Ariguani,100,CO,1554515341,53,10.25,-74.0,81.35,1.39
95,Riberalta,20,BO,1554515342,91,-11.0,-66.08,76.94,2.39
96,Chuy,44,UY,1554515155,82,-33.69,-53.46,64.79,12.68
97,Avarua,0,CK,1554512400,69,-21.21,-159.78,80.6,6.93
98,Faya,0,SA,1554512400,72,18.39,42.45,62.6,16.11
99,Doha,0,QA,1554512400,57,25.29,51.53,78.8,9.17
100,Saint-Philippe,90,CA,1554515127,86,45.36,-73.48,35.01,12.75
101,Yellowknife,20,CA,1554512400,44,62.45,-114.38,21.2,3.36
102,Katsuura,20,JP,1554514443,37,33.93,134.5,68.0,16.11
103,Sivas,0,TR,1554511800,92,39.75,37.01,30.2,2.24
104,Lakes Entrance,48,AU,1554515283,64,-37.88,147.99,70.0,1.99
105,Dubbo,12,AU,1554512400,34,-32.25,148.6,80.6,14.99
106,Antalya,0,TR,1554513600,87,36.9,30.69,50.0,4.7
107,Boyolangu,20,ID,1554515343,84,-8.09,111.9,82.7,3.74
108,Barrow,0,AR,1554515105,69,-38.31,-60.23,54.62,12.8
